mtbf_days,mtbf_std,mtbf_trend,mttr_min,days_since_last_bd,bd_freq_30d,avg_avail_7d,avg_avail_30d,avg_tonnage_7d,delay_min_7d,delay_min_30d,delay_diversity,machine_id,rul_days
1.29,25.07,0.0,44.32,1.0,200,26.76,29.77,274.15,7313.0,29883.0,14,1,1.0
1.29,24.99,0.0,44.36,1.0,196,26.51,29.84,262.02,7338.0,29803.0,14,1,1.0
1.28,24.87,0.0,44.21,1.0,194,27.79,29.75,262.76,7203.0,29848.0,14,1,1.0
1.26,24.7,0.0,44.08,1.0,197,28.27,29.59,262.74,7163.0,29938.0,14,1,1.0
1.25,24.61,0.0,44.0,1.0,199,29.97,29.56,267.67,6980.0,29968.0,14,1,1.0
1.24,24.47,0.0,43.82,1.0,199,29.47,29.08,281.58,7190.0,30318.0,14,1,1.0
1.24,24.4,0.0,44.04,1.0,198,28.47,29.05,285.71,6985.0,29983.0,13,1,1.0
1.23,24.29,0.0,44.75,1.0,197,27.54,28.67,272.71,7055.0,30148.0,13,1,1.0
1.21,24.15,0.0,44.56,1.0,195,29.08,29.12,281.48,6900.0,29943.0,13,1,1.0
1.21,24.04,0.0,44.35,1.0,193,30.9,29.43,283.61,6725.0,29788.0,13,1,1.0
1.19,23.89,0.0,44.24,1.0,192,31.67,29.6,283.34,6665.0,29713.0,13,1,1.0
1.18,23.79,0.0,45.44,1.0,189,29.4,29.37,270.44,7000.0,29928.0,12,1,1.0
1.17,23.68,0.0,45.28,1.0,187,32.73,29.96,279.63,6570.0,29553.0,12,1,1.0
1.17,23.58,0.0,45.17,1.0,185,34.57,30.31,294.62,6690.0,29388.0,12,1,1.0
1.16,23.48,0.0,45.05,1.0,187,37.13,30.21,316.57,6445.0,29443.0,12,1,1.0
1.15,23.35,0.0,44.86,1.0,189,35.3,30.0,319.26,6605.0,29538.0,12,1,1.0
1.14,23.22,0.0,44.81,1.0,191,32.57,29.52,316.56,6870.0,29763.0,12,1,1.0
1.12,23.04,0.0,44.78,1.0,193,30.47,29.32,308.59,7055.0,29848.0,12,1,1.0
1.11,22.93,0.0,44.83,1.0,194,30.51,28.76,312.43,6930.0,30098.0,12,1,1.0
1.1,22.81,0.0,45.34,1.0,193,28.42,28.34,297.3,7180.0,30298.0,12,1,1.0
1.1,22.76,0.0,45.21,1.0,186,28.96,28.9,295.28,7130.0,30078.0,12,1,1.0
1.09,22.7,0.0,45.08,1.0,181,29.03,29.2,292.93,7115.0,29923.0,12,1,1.0
1.09,22.65,0.0,44.96,1.0,174,29.6,29.5,291.83,7065.0,29793.0,13,1,1.0
1.08,22.57,0.0,44.93,1.0,173,30.88,30.23,286.04,6930.0,29793.0,14,1,1.0
1.08,22.5,0.0,44.77,1.0,172,33.14,30.4,294.34,6720.0,29708.0,15,1,1.0
1.07,22.43,0.0,44.65,1.0,165,35.56,30.98,303.37,6480.0,29463.0,15,1,1.0
1.07,22.33,0.0,44.89,1.0,163,35.84,30.84,294.93,6395.0,29528.0,15,1,1.0
1.06,22.24,0.0,44.77,1.0,159,35.67,31.33,310.58,6395.0,29320.0,15,1,1.0
1.05,22.12,0.0,44.66,1.0,157,32.3,31.21,314.46,6760.0,29430.0,16,1,1.0
1.05,22.07,0.0,44.56,1.0,152,32.62,31.47,315.4,6400.0,29010.0,16,1,1.0
1.04,21.95,0.0,44.72,1.0,154,28.28,30.71,314.29,6570.0,29050.0,16,1,1.0
1.03,21.85,0.0,44.64,1.0,157,27.3,30.7,309.91,6685.0,29055.0,16,1,1.0
1.02,21.75,0.0,44.48,1.0,158,25.74,30.53,301.57,6865.0,29125.0,15,1,1.0
1.02,21.72,0.0,44.41,1.0,153,26.56,30.51,321.05,6450.0,28815.0,14,1,2.0
1.01,21.66,0.0,44.32,2.0,147,25.17,30.54,281.29,5110.0,27350.0,15,1,1.0
1.02,21.64,2.0,44.28,1.0,145,24.43,30.97,279.92,4810.0,26835.0,15,1,1.0
1.01,21.53,0.0,44.37,1.0,147,29.14,31.21,277.36,4750.0,26745.0,15,1,1.0
1.0,21.45,0.0,44.32,1.0,146,30.88,31.12,275.53,4625.0,26780.0,15,1,1.0
1.0,21.39,0.0,44.25,1.0,145,31.63,30.62,277.35,4255.0,26655.0,15,1,1.0
0.99,21.3,0.0,44.29,1.0,144,30.35,30.2,272.11,4645.0,26795.0,15,1,1.0
0.98,21.22,0.0,44.24,1.0,144,32.04,30.56,276.22,4845.0,26525.0,15,1,1.0
0.98,21.16,0.0,44.09,1.0,143,32.82,30.57,281.52,5750.0,26530.0,15,1,1.0
0.98,21.12,0.0,43.99,1.0,141,31.47,30.26,277.51,6520.0,26665.0,15,1,1.0
0.97,21.06,0.0,43.89,1.0,140,30.28,29.6,281.69,6615.0,26915.0,15,1,1.0
0.97,21.0,0.0,43.99,1.0,138,28.56,29.5,280.14,6460.0,26635.0,16,1,1.0
0.96,20.93,0.0,44.97,1.0,136,26.89,29.23,272.14,7115.0,26900.0,16,1,1.0
0.96,20.84,0.0,45.4,1.0,133,25.99,29.12,264.05,7220.0,26960.0,16,1,1.0
0.96,20.8,0.0,45.3,1.0,130,27.13,29.76,275.97,7105.0,26700.0,16,1,1.0
0.95,20.72,0.0,45.24,1.0,130,25.95,30.05,278.58,7195.0,26545.0,16,1,1.0
0.94,20.65,0.0,45.09,1.0,132,27.01,29.84,290.58,7085.0,26620.0,16,1,1.0
0.94,20.55,0.0,45.05,1.0,136,28.63,29.52,293.21,6955.0,26755.0,16,1,1.0
0.93,20.47,0.0,44.94,1.0,139,28.16,29.14,301.33,7320.0,26890.0,15,1,1.0
0.93,20.4,0.0,45.27,1.0,140,29.71,28.93,308.28,7010.0,26980.0,14,1,1.0
0.92,20.35,0.0,45.2,1.0,140,32.82,29.06,326.25,6680.0,26920.0,14,1,1.0
0.91,20.26,0.0,45.05,1.0,143,32.05,28.94,326.36,6760.0,26980.0,14,1,1.0
0.91,20.2,0.0,44.94,1.0,141,34.27,29.7,331.69,6535.0,26685.0,14,1,1.0
0.9,20.09,0.0,44.71,1.0,145,32.36,29.04,318.9,6690.0,26915.0,14,1,1.0
0.9,20.03,0.0,45.25,1.0,143,31.26,29.23,306.74,6825.0,26820.0,14,1,1.0
0.89,19.94,0.0,45.46,1.0,147,31.07,28.76,303.71,7040.0,27530.0,14,1,1.0
0.88,19.85,0.0,45.27,1.0,147,31.02,29.66,315.03,7005.0,27415.0,14,1,1.0
0.88,19.78,0.0,45.1,1.0,147,29.76,29.71,312.74,7145.0,27380.0,14,1,1.0
0.87,19.69,0.0,44.93,1.0,148,29.07,29.82,312.19,7215.0,27330.0,14,1,1.0
0.87,19.66,0.0,44.84,1.0,149,28.67,30.2,317.51,7260.0,27495.0,14,1,1.0
0.87,19.62,0.0,44.75,1.0,148,31.27,30.76,339.02,7015.0,27590.0,13,1,1.0
0.87,19.57,0.0,44.64,1.0,152,33.7,31.08,366.72,6735.0,28445.0,13,1,1.0
0.86,19.5,0.0,44.75,1.0,157,34.21,30.77,365.42,6520.0,29240.0,13,1,1.0
0.86,19.43,0.0,44.82,1.0,156,34.08,30.78,358.06,6575.0,29240.0,13,1,1.0
0.85,19.37,0.0,45.3,1.0,157,33.57,30.39,351.67,6745.0,29500.0,12,1,1.0
0.85,19.32,0.0,45.21,1.0,157,34.57,30.58,353.06,6675.0,29750.0,12,1,1.0
0.85,19.27,0.0,45.09,1.0,155,33.96,30.99,348.23,6730.0,29580.0,12,1,1.0
0.84,19.2,0.0,44.9,1.0,157,33.08,31.06,337.09,6825.0,29570.0,12,1,1.0
0.84,19.14,0.0,44.85,1.0,158,31.77,30.87,325.84,6950.0,29645.0,12,1,1.0
